Name,Link,Shipping Carriers,Note
Amazon,https://amazon.com,USPS and Amazon Logistics - very rare that they used UPS,you can't choose
Aliexpress,https://aliexpress.com,USPS,you can't choose
ebay,https://ebay.com,"USPS, FedEx, UPS, Others","most sellers use USPS - you have to ask and communicate with the sellers, if you prefer FedEx or UPS"
Zazzle,https://zazzle.com,USPS,you can't choose
Temu,https://temu.com,"USPS - I used to able to use UPS, but they removed that option :(",you can't choose
Medicalsource,https://medicalsource.com,"USPS - I choose UPS, but they ignored it and used USPS",you can't choose
orientaltrading,http://www.orientaltrading.com,USPS,you can't choose
Reolink,https://reolink.com,USPS,you can't choose
Khols,https://www.kohls.com,USPS and UPS,you can't choose
Hot Topic,https://www.hottopic.com,USPS,you can't choose
Shutterfly,https://www.shutterfly.com,USPS,you can't choose
printify,https://printify.com,USPS - not sure about express,
Target,https://www.target.com,USPS,you can't choose
Mayo Clinic Store,https://store.mayoclinic.com,FedEx and USPS,you can't choose
Vitalitymedical,https://www.vitalitymedical.com,USPS and FedEx,you can't choose
Star Magic Space Age Gifts,https://starmagic.com,USPS,you can't choose
iherb,https://iherb.com,USPS,you can't choose
Walgreens,https://www.walgreens.com,USPS and FedEx,you can't choose
Walmart,https://walmart.com,walmart drivers and FedEx - 3rd party sellers mostly use USPS,you can't choose
Best Buy,https://bestbuy.com,FedEx and UPS,
Gamestop,https://gamestop.com,FedEx and USPS,
Lowes,https://lowes.com,FedEx,
The Home Depot,https://thehomedepot.com,UPS and FedEx - Be aware of third party sellers,
MyCableMart.com,https://www.mycablemart.com,UPS,
BatteriesPlus,https://www.batteriesplus.com,UPS,
Higher Level Tattoo Supply,https://hltattoosupply.com,UPS,
Digitalbaytech,https://www.digitalbaytech.com,UPS and USPS,you can choose
Vilros,https://vilros.com,UPS and USPS,you can choose
Adafruit,https://www.adafruit.com,UPS and USPS,you can choose
Dynamic Color,https://dynamiccolor.com,UPS and USPS,you can choose
Crocs,https://www.crocs.com,UPS,
B&H Photo Video,https://www.bhphotovideo.com,FedEx,
Photon Light,https://www.photonlight.com,FedEx and USPS,you can choose
ZWaveProducts,https://www.zwaveproducts.com,UPS and USPS,you can choose
The Smartest House,https://www.thesmartesthouse.com,UPS and USPS,you can choose
newegg,https://newegg.com,UPS - must be shipped from newegg,
Chewy,https://chewy.com,FedEx,
Sandisk,https://sandisk.com,UPS,
Logitech,https://www.logitech.com,FedEx,
Supplyhouse,https://supplyhouse.com,UPS,
The Christmas Loft,https://christmasloft.com,UPS and USPS,you can choose
Country Christmas Loft,https://www.countrychristmasloft.com,"UPS, FedEx, USPS",you can choose
Battery Eliminator Kits,https://www.batteryeliminatorkits.com,UPS and USPS,you can choose
Grainger,https://www.grainger.com,UPS,
Save Rite Medical,https://www.saveritemedical.com,UPS and USPS,you can choose
Carewell,https://www.carewell.com,UPS,
Tena,https://shop.tena.us,FedEx,
Velvet Thruster Adult Sex Toys (Adult),https://thethruster.com,UPS,
Etech Parts Plus,https://www.etechparts.com,"UPS, FedEx, and USPS",you can choose
Empire BMX,https://www.empirebmx.com,"FedEx, UPS, and USPS","must tell in the comment box, if you prefer exact shipping carrier"
Dans Comp,https://www.danscomp.com,UPS and USPS,you can choose
Stolen Brand,https://stolenbrand.com,UPS and USPS,you can choose
Skatepro,https://www.skatepro.com,FedEx,
ITI NYC,https://itinyc.com,UPS and USPS,you can choose
PandaHall,https://www.pandahall.com,"UPS, FedEx, USPS",you can choose
Zenni Optical,https://www.zennioptical.com,FedEx - I always select express shipping,
Jcpenny,https://jcpenney.com,UPS,
Payne Glasses,https://www.payneglasses.com,FedEx,
Champs Sports,https://www.champssports.com,FedEx,
Hand Held Legend,https://handheldlegend.com,UPS and USPS,you can choose
Binok,https://binbok.com,UPS for my order - unknown right now,
Philips,https://www.usa.philips.com,FedEx,
1000Bulbs,https://www.1000bulbs.com,FedEx,
Spod,https://spod.com,USPS and UPS - must select express shipping for UPS,
Spreadshirt,https://spreadshirt.com,USPS and UPS - must select express shipping for UPS,
Zoro,https://zoro.com,FedEx and UPS,
GE Lighting,https://shop.gelighting.com,FedEx,
CloudFree,https://cloudfree.shop,"UPS, FedEx, and USPS",you can choose
Ameridroid,https://ameridroid.com,"UPS, FedEx, USPS",you can choose
Arre,https://arrehome.com,UPS and USPS,you can choose - I will not recommend those products
Healthykin,https://www.healthykin.com,UPS and FedEx,
Honestmed,https://honestmed.com,FedEx,
Plasticplace,https://www.plasticplace.com,UPS,
Dick's Sporting Goods,https://www.dickssportinggoods.com,FedEx,
Kid's Foot Locker,https://www.kidsfootlocker.com,FedEx,
Medical and Lab Supplies,https://www.medical-and-lab-supplies.com,UPS and USPS,you can choose
ADW Diabetes,https://adwdiabetes.com,USPS and FedEx - must choose 2 days express shipping for FedEx,
Westend Medical Supply,https://westendmedicalsupply.com,UPS and USPS,you can choose
sci-supply,https://sci-supply.com,UPS,
Max Warehouse,https://www.maxwarehouse.com,"automatic system - randomly selected between UPS, FedEx and USPS - must choose least expedited or 2-days shipping for them to use UPS or FedEx",
Mountainside Medical,https://www.mountainside-medical.com,FedEx,
Tekton,https://www.tekton.com,UPS,
Dongle Jungle,https://www.donglejungle.com,USPS - I tested the shopping cart and it only showed me USPS options,
ComplianceSigns.com,https://www.compliancesigns.com,UPS,
Lion's Den (Adult),https://shop.lionsden.com,UPS and FedEx,
